iter	RMSE
0	4361.447757
1	4124.074517
2	3935.828567
3	3749.539493
4	3600.890098
5	3448.530363
6	3329.649348
7	3232.278047
8	3115.80639
9	3017.773397
10	2928.003348
11	2872.722361
12	2816.601936
13	2749.016088
14	2713.335576
15	2680.275799
16	2646.575676
17	2595.431515
18	2556.485198
19	2526.715159
20	2504.938937
21	2470.410534
22	2440.370759
23	2413.883022
24	2401.059613
25	2379.949837
26	2364.042396
27	2345.983483
28	2332.979407
29	2315.298346
30	2300.646566
31	2281.894101
32	2273.565804
33	2265.837021
34	2247.285632
35	2236.281923
36	2227.70672
37	2220.999276
38	2215.08965
39	2198.18261
40	2184.267242
41	2178.863274
42	2171.218918
43	2158.859737
44	2146.921731
45	2139.994006
46	2134.453209
47	2124.79427
48	2118.436824
49	2111.020945
50	2102.774063
51	2094.776867
52	2086.297378
53	2078.530135
54	2072.92433
55	2067.548567
56	2060.724729
57	2055.088854
58	2048.87138
59	2044.517236
60	2042.308794
61	2037.296218
62	2034.487975
63	2030.24091
64	2024.385821
65	2022.768504
66	2013.784424
67	2009.348213
68	2005.731833
69	2001.458982
70	1995.75846
71	1990.59521
72	1986.519788
73	1980.244972
74	1977.024373
75	1971.482101
76	1968.318417
77	1963.106302
78	1959.342401
79	1955.482663
80	1951.001382
81	1946.294043
82	1943.124583
83	1937.141742
84	1933.274688
85	1929.22211
86	1926.118733
87	1920.094869
88	1915.931656
89	1911.09405
90	1906.892453
91	1901.611277
92	1900.17394
93	1898.442687
94	1894.503907
95	1892.495028
96	1891.078635
97	1887.402508
98	1883.333185
99	1880.936608
100	1879.551515
101	1877.608625
102	1874.187929
103	1870.465523
104	1869.981285
105	1868.302254
106	1865.426136
107	1863.115284
108	1861.125696
109	1852.080825
110	1849.593163
111	1846.804371
112	1841.426994
113	1839.019739
114	1837.39322
115	1835.886137
116	1832.212305
117	1831.01294
118	1825.973434
119	1823.426337
120	1820.065893
121	1817.545286
122	1813.109342
123	1812.552933
124	1809.335128
125	1805.967856
126	1804.471655
127	1801.621062
128	1800.059257
129	1795.940082
130	1793.782198
131	1790.637373
132	1788.517286
133	1786.470528
134	1784.339178
135	1782.575686
136	1780.188268
137	1779.076398
138	1776.162982
139	1773.754076
140	1772.55944
141	1771.100502
142	1767.210255
143	1764.559873
144	1762.987751
145	1759.291253
146	1758.568408
147	1756.580998
148	1753.995523
149	1751.112241
150	1749.91382
151	1747.773656
152	1746.526139
153	1745.455123
154	1744.33344
155	1741.39116
156	1739.74858
157	1738.33674
158	1737.890292
159	1735.660522
160	1733.26658
161	1730.82141
162	1726.265119
163	1720.857796
164	1720.104731
165	1716.739613
166	1711.993276
167	1710.056577
168	1708.003077
169	1703.038899
170	1702.368334
171	1701.422714
172	1700.083609
173	1698.575064
174	1697.692586
175	1695.346121
176	1695.138749
177	1692.209168
178	1690.648476
179	1688.954583
180	1688.433358
181	1688.234991
182	1685.962488
183	1685.881708
184	1684.655577
185	1682.663431
186	1681.322298
187	1679.421862
188	1678.539168
189	1675.775592
190	1675.700372
191	1675.549498
192	1673.444152
193	1671.228494
194	1671.085309
195	1669.626406
196	1668.523531
197	1666.743444
198	1665.120528
199	1661.878793
200	1661.798885
201	1658.431539
202	1656.734847
203	1654.86156
204	1653.432786
205	1652.212923
206	1651.369092
207	1649.489701
208	1649.473353
209	1647.78433
210	1647.714491
211	1647.699632
212	1645.931637
213	1644.388235
214	1643.051178
215	1639.495156
216	1638.218469
217	1638.204222
218	1636.51447
219	1635.330749
220	1632.745698
221	1631.117717
222	1629.847781
223	1627.211848
224	1625.555269
225	1625.541701
226	1624.723517
227	1621.460414
228	1618.754161
229	1617.389232
230	1615.217247
231	1613.534343
232	1611.416674
233	1610.284929
234	1608.713492
235	1607.500331
236	1607.365854
237	1605.66342
238	1604.586573
239	1604.572926
240	1604.349089
241	1602.820841
242	1602.733023
243	1602.721356
244	1601.132715
245	1601.119807
246	1600.17347
247	1600.161655
248	1598.844008
249	1597.83682
250	1596.644079
251	1595.731377
252	1594.596532
253	1594.584881
254	1593.206066
255	1591.57407
256	1591.38213
257	1590.098818
258	1587.745829
259	1585.914292
260	1583.155076
261	1580.501446
262	1579.313518
263	1577.499847
264	1576.850049
265	1575.417605
266	1574.810275
267	1573.969511
268	1573.018888
269	1571.259334
270	1570.183162
271	1569.184
272	1566.13794
273	1565.474644
274	1565.283232
275	1564.671748
276	1561.355687
277	1561.344821
278	1560.294145
279	1559.54134
280	1558.968773
281	1558.89286
282	1558.506969
283	1555.576599
284	1553.988699
285	1553.978646
286	1552.912452
287	1551.059877
288	1549.541611
289	1548.048174
290	1546.380453
291	1544.806348
292	1543.624694
293	1541.792049
294	1540.858288
295	1540.791295
296	1539.736259
297	1538.793128
298	1537.706946
299	1536.947836
300	1535.990095
301	1534.329273
302	1532.946406
303	1531.083035
304	1530.857313
305	1530.100529
306	1528.833667
307	1528.271612
308	1527.481169
309	1526.76999
310	1526.674309
311	1525.902558
312	1525.834647
313	1524.550817
314	1523.001954
315	1522.647701
316	1521.263635
317	1520.32758
318	1517.916729
319	1516.748564
320	1515.781732
321	1513.505299
322	1512.297019
323	1511.291766
324	1510.353365
325	1508.417685
326	1505.756764
327	1504.211647
328	1503.764956
329	1503.01071
330	1502.078425
331	1500.826031
332	1498.505493
333	1498.025343
334	1496.537383
335	1496.530015
336	1494.359735
337	1493.53668
338	1493.515902
339	1492.918228
340	1490.985253
341	1489.298886
342	1488.407469
343	1488.383149
344	1487.816978
345	1486.223908
346	1485.389342
347	1484.366031
348	1484.349819
349	1483.485357
350	1482.591686
351	1482.512242
352	1481.756882
353	1481.003148
354	1480.997063
355	1480.046362
356	1478.947501
357	1477.959922
358	1477.92335
359	1477.674992
360	1477.095322
361	1476.413935
362	1475.719634
363	1475.713613
364	1475.219922
365	1474.584
366	1473.903343
367	1473.855542
368	1473.849863
369	1472.872373
370	1472.230356
371	1472.186653
372	1471.48272
373	1470.889785
374	1469.745316
375	1468.83322
376	1468.157965
377	1467.195167
378	1466.239888
379	1464.815009
380	1464.769054
381	1463.062611
382	1462.878985
383	1462.489761
384	1462.424634
385	1461.773801
386	1460.922896
387	1460.918185
388	1460.118945
389	1458.87005
390	1457.748493
391	1456.821335
392	1456.136508
393	1455.496933
394	1454.6027
395	1453.508866
396	1453.469897
397	1452.509979
398	1451.426656
399	1451.370048
400	1450.592732
401	1449.726786
402	1449.681689
403	1448.874121
404	1448.860616
405	1448.856655
406	1447.58701
407	1446.956769
408	1446.916059
409	1446.337179
410	1446.333378
411	1445.619309
412	1445.099033
413	1444.278462
414	1443.165203
415	1443.114552
416	1442.414606
417	1442.014669
418	1442.011233
419	1440.301047
420	1439.403625
421	1438.969582
422	1436.55866
423	1436.247286
424	1436.057064
425	1435.395496
426	1433.885706
427	1433.033228
428	1432.910312
429	1432.182448
430	1431.358931
431	1430.790177
432	1430.675851
433	1429.866408
434	1429.174522
435	1428.598155
436	1427.646358
437	1427.011334
438	1425.836046
439	1424.74411
440	1424.074679
441	1423.658593
442	1423.612582
443	1423.196581
444	1422.553386
445	1421.367566
446	1420.453002
447	1419.710891
448	1418.090539
449	1417.584686
450	1417.2413
