iter	Passed	Remaining
0	157	78502
1	165	41288
2	173	28705
3	180	22442
4	188	18679
5	196	16187
6	204	14406
7	212	13058
8	219	11998
9	227	11159
10	235	10468
11	243	9910
12	252	9460
13	260	9047
14	268	8692
15	277	8383
16	285	8101
17	293	7851
18	301	7629
19	309	7421
20	317	7245
21	325	7071
22	333	6916
23	342	6784
24	350	6652
25	359	6559
26	367	6445
27	376	6342
28	384	6242
29	392	6142
30	399	6045
31	407	5960
32	416	5887
33	424	5814
34	432	5743
35	440	5673
36	447	5603
37	455	5534
38	462	5471
39	470	5415
40	479	5364
41	487	5312
42	495	5263
43	503	5218
44	511	5169
45	519	5123
46	527	5081
47	535	5039
48	543	5004
49	551	4966
50	560	4936
51	569	4909
52	577	4871
53	592	4890
54	601	4864
55	607	4815
56	613	4771
57	626	4770
58	632	4730
59	638	4681
60	643	4630
61	649	4586
62	655	4547
63	662	4514
64	670	4489
65	678	4464
66	686	4438
67	694	4414
68	702	4390
69	712	4374
70	720	4353
71	729	4335
72	737	4311
73	745	4293
74	753	4270
75	761	4249
76	770	4234
77	779	4216
78	787	4195
79	795	4177
80	804	4159
81	812	4139
82	820	4119
83	828	4103
84	836	4085
85	844	4066
86	853	4050
87	861	4033
88	870	4017
89	877	3998
90	886	3982
91	893	3963
92	901	3946
93	910	3932
94	918	3917
95	926	3900
96	934	3884
97	943	3869
98	951	3855
99	960	3841
100	969	3829
101	977	3813
102	985	3799
103	993	3784
104	1001	3766
105	1009	3753
106	1017	3738
107	1026	3724
108	1034	3710
109	1042	3697
110	1050	3682
111	1058	3667
112	1066	3653
113	1074	3639
114	1082	3623
115	1090	3609
116	1097	3593
117	1105	3578
118	1113	3565
119	1121	3552
120	1129	3539
121	1137	3525
122	1146	3512
123	1153	3498
124	1161	3483
125	1169	3471
126	1177	3459
127	1186	3448
128	1195	3438
129	1204	3429
130	1213	3417
131	1222	3407
132	1230	3394
133	1238	3382
134	1246	3368
135	1254	3356
136	1262	3345
137	1270	3332
138	1278	3320
139	1286	3308
140	1294	3295
141	1302	3283
142	1311	3272
143	1319	3261
144	1327	3249
145	1335	3239
146	1343	3225
147	1351	3214
148	1359	3203
149	1368	3192
150	1376	3180
151	1384	3170
152	1393	3159
153	1401	3148
154	1408	3135
155	1416	3123
156	1425	3113
157	1433	3103
158	1441	3091
159	1449	3080
160	1458	3070
161	1466	3059
162	1474	3047
163	1482	3036
164	1490	3025
165	1498	3015
166	1506	3004
167	1514	2993
168	1522	2982
169	1531	2972
170	1538	2960
171	1547	2950
172	1555	2940
173	1563	2929
174	1572	2919
175	1580	2909
176	1587	2896
177	1596	2887
178	1604	2877
179	1612	2866
180	1619	2854
181	1627	2843
182	1635	2832
183	1642	2820
184	1650	2810
185	1658	2800
186	1667	2790
187	1675	2780
188	1683	2769
189	1691	2759
190	1698	2747
191	1705	2735
192	1712	2724
193	1720	2713
194	1727	2702
195	1735	2692
196	1743	2682
197	1751	2671
198	1759	2661
199	1767	2651
200	1774	2639
201	1782	2630
202	1791	2620
203	1800	2612
204	1809	2603
205	1817	2594
206	1826	2584
207	1834	2574
208	1839	2561
209	1848	2552
210	1856	2542
211	1861	2528
212	1869	2518
213	1877	2509
214	1886	2500
215	1894	2491
216	1903	2482
217	1908	2469
218	1917	2460
219	1926	2452
220	1935	2443
221	1944	2434
222	1952	2425
223	1960	2415
224	1969	2406
225	1975	2394
226	1983	2385
227	1991	2376
228	2000	2367
229	2008	2358
230	2017	2349
231	2026	2340
232	2035	2332
233	2044	2324
234	2052	2314
235	2061	2305
236	2067	2294
237	2076	2285
238	2084	2276
239	2090	2264
240	2098	2254
241	2107	2246
242	2114	2235
243	2118	2223
244	2127	2214
245	2133	2202
246	2142	2194
247	2147	2181
248	2155	2172
249	2163	2163
250	2171	2154
251	2180	2145
252	2188	2136
253	2194	2125
254	2202	2116
255	2210	2106
256	2217	2096
257	2225	2087
258	2233	2078
259	2242	2069
260	2251	2061
261	2259	2052
262	2268	2044
263	2277	2035
264	2285	2026
265	2294	2018
266	2302	2009
267	2311	2000
268	2319	1991
269	2327	1983
270	2335	1973
271	2343	1964
272	2352	1955
273	2360	1947
274	2368	1937
275	2375	1928
276	2384	1919
277	2389	1908
278	2398	1900
279	2407	1891
280	2415	1882
281	2422	1873
282	2430	1863
283	2438	1854
284	2447	1846
285	2452	1835
286	2461	1826
287	2470	1818
288	2478	1809
289	2486	1800
290	2494	1791
291	2503	1783
292	2512	1774
293	2520	1765
294	2528	1757
295	2535	1747
296	2543	1738
297	2551	1729
298	2559	1720
299	2568	1712
300	2576	1703
301	2584	1694
302	2593	1686
303	2602	1677
304	2610	1668
305	2618	1660
306	2627	1651
307	2635	1642
308	2644	1634
309	2652	1625
310	2659	1616
311	2667	1607
312	2674	1598
313	2683	1589
314	2691	1580
315	2699	1571
316	2707	1563
317	2715	1554
318	2724	1545
319	2732	1537
320	2740	1528
321	2749	1519
322	2758	1511
323	2767	1503
324	2775	1494
325	2784	1486
326	2793	1478
327	2802	1469
328	2810	1460
329	2818	1452
330	2827	1443
331	2835	1434
332	2844	1426
333	2852	1417
334	2860	1409
335	2866	1399
336	2874	1390
337	2882	1381
338	2890	1372
339	2898	1363
340	2906	1355
341	2914	1346
342	2922	1337
343	2929	1328
344	2937	1319
345	2945	1311
346	2953	1302
347	2961	1293
348	2968	1284
349	2976	1275
350	2984	1267
351	2991	1257
352	3000	1249
353	3008	1240
354	3012	1230
355	3020	1221
356	3028	1213
357	3036	1204
358	3043	1195
359	3051	1186
360	3060	1178
361	3069	1169
362	3077	1161
363	3083	1152
364	3092	1143
365	3100	1135
366	3109	1126
367	3116	1117
368	3121	1108
369	3130	1099
370	3138	1091
371	3145	1082
372	3152	1073
373	3161	1065
374	3169	1056
375	3178	1048
376	3186	1039
377	3195	1031
378	3203	1022
379	3211	1014
380	3219	1005
381	3227	996
382	3235	988
383	3244	979
384	3251	971
385	3259	962
386	3268	954
387	3273	945
388	3282	936
389	3291	928
390	3300	920
391	3308	911
392	3316	903
393	3325	894
394	3333	886
395	3342	877
396	3349	869
397	3357	860
398	3365	851
399	3373	843
400	3381	834
